Project Id,Approval Date,Show Name,Source,Video Title,Length,Status,Watch,Sunset Date,Music,Music Info,Promo Code,Notes,PR,On-Air,,Digital,,,Social,Off Air
60526,6/29/2017,World of Dance S1,TOP,Emotional,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A711WOD1207H,2nd :15 for WOD,,,,,,,,
60521,6/29/2017,World of Dance S1,TOP,Winning Tuesday Line Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T711GON2107H,,,7/5/2017,On-Air,,,,,
60476,6/28/2017,World of Dance S1,TOP,EP 106,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A711WOD1107H,,,,,,,,,
60451,6/28/2017,World of Dance S1,TOP,EP 106 Promo,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A711WOD1207H,,,,,,,,,
60411,6/27/2017,World of Dance S1,TOP,EP 106 Look Ahead,0:30,Live,Rough,,Library,,030G711WOD1107H,,,,,,,,,
60356,6/26/2017,World of Dance S1,TOP,Tuesday Line-Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A627GON2107H,,,,,,,,,
60366,6/26/2017,World of Dance S1,TOP,Unbreakable,0:15,Live,Rough Final Create Video Quick Link,,Library,,015Y627WOD1207H,,,,,,,,,
60261,6/21/2017,World of Dance S1,TOP,EP 105 Promo,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A627WOD1107H,,,,,,,,,
60256,6/21/2017,World of Dance S1,TOP,EP 105 Promo,0:05,Live,Rough Final Create Video Quick Link,,Library,,005A627WOD1107H,,,,,,,,,
60231,6/20/2017,World of Dance S1,TOP,EP 105 Promo,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A627WOD1207H,,,,,,,,,
60201,6/20/2017,World of Dance S1,TOP,EP 105 Look Ahead,0:30,Live,Rough Final Create Video Quick Link,,Library,,030T627WOD1107H,,,,,,,,,
60156,6/16/2017,World of Dance S1,TOP,Tuesday Line- Up,0:30,Live,Rough Final Create Video Quick Link,,Library,,030A620GON2107H,,,6/19/2017,On-Air,,,,,
60146,6/16/2017,World of Dance S1,TOP,Duels,0:15,Live,Rough Final Create Video Quick Link,,Library,,015A620WOD1207H,,,,,,,,,
